,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
141,2016.0,5,Eagles,0.3333333333333333,1.0,1.0,Lions,203.33333333333334,9.0,15.666666666666666,DST,71.0,3.3333333333333335,0.3333333333333333,274.3333333333333,0.0,0.3333333333333333
155,2016.0,6,Eagles,0.25,1.0,0.75,Redskins,193.5,12.75,13.5,DST,73.25,3.5,0.25,266.75,0.0,0.5
184,2016.0,7,Eagles,0.2,0.8,0.8,Min,207.4,15.6,13.8,DST,104.6,2.8,0.2,312.0,0.4,0.6
230,2016.0,8,Eagles,0.16666666666666666,1.1666666666666667,0.8333333333333334,Cowboys,204.33333333333334,14.666666666666666,16.0,DST,102.66666666666667,3.3333333333333335,0.16666666666666666,307.0,0.5,0.5
258,2016.0,9,Eagles,0.14285714285714285,1.0,0.8571428571428571,Giants,214.14285714285714,16.714285714285715,14.285714285714286,DST,114.71428571428571,3.142857142857143,0.14285714285714285,328.85714285714283,0.42857142857142855,0.5714285714285714
281,2016.0,10,Eagles,0.125,0.875,1.0,Falcons,218.375,18.125,13.125,DST,107.125,2.875,0.125,325.5,0.375,0.625
314,2016.0,11,Eagles,0.1111111111111111,0.7777777777777778,1.0,Seahawks,222.44444444444446,17.77777777777778,12.555555555555555,DST,100.55555555555556,2.7777777777777777,0.1111111111111111,323.0,0.3333333333333333,0.5555555555555556
351,2016.0,12,Eagles,0.2,0.7,0.9,Packers,228.9,18.6,11.7,DST,105.7,2.6,0.1,334.6,0.3,0.6
376,2016.0,13,Eagles,0.18181818181818182,0.6363636363636364,0.8181818181818182,Bengals,236.54545454545453,19.363636363636363,10.727272727272727,DST,102.81818181818181,2.3636363636363638,0.09090909090909091,339.3636363636364,0.2727272727272727,0.5454545454545454
396,2016.0,14,Eagles,0.16666666666666666,0.75,0.75,Redskins,244.5,20.416666666666668,10.166666666666666,DST,100.91666666666667,2.1666666666666665,0.08333333333333333,345.4166666666667,0.25,0.5833333333333334
432,2016.0,15,Eagles,0.15384615384615385,0.6923076923076923,0.7692307692307693,Ravens,243.15384615384616,20.923076923076923,10.23076923076923,DST,101.38461538461539,2.1538461538461537,0.07692307692307693,344.53846153846155,0.3076923076923077,0.5384615384615384
449,2016.0,16,Eagles,0.14285714285714285,0.7142857142857143,0.7857142857142857,Giants,239.28571428571428,21.357142857142858,10.071428571428571,DST,104.92857142857143,2.2142857142857144,0.07142857142857142,344.2142857142857,0.2857142857142857,0.5714285714285714
486,2016.0,17,Eagles,0.13333333333333333,0.6666666666666666,0.9333333333333333,Cowboys,247.06666666666666,21.2,10.466666666666667,DST,105.53333333333333,2.066666666666667,0.06666666666666667,352.6,0.3333333333333333,0.5333333333333333
